Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DEA,"Easterly Government Properties",18.34,0.32,+1.78%,18.36,18.06,274800,05/03/19
DF,"Dean Foods Company",1.52,-0.02,-1.30%,1.62,1.51,3136700,05/03/19
DFIN,"Donnelly Financial Solutions Inc",16.05,0.32,+2.03%,16.2,15.59,115300,05/03/19
DGII,"Digi Intl Inc",12.75,-0.35,-2.67%,12.85,12.32,211300,05/03/19
DIN,"Dineequity Inc",88.4,0.22,+0.25%,89.14,86.96,367000,05/03/19
DIOD,"Diodes Inc",37.03,0.61,+1.67%,37.15,36.15,327100,05/03/19
DNR,"Denbury Resources",2.01,0.11,+5.79%,2.03,1.89,12936601,05/03/19
DO,"Diamond Offshore Drilling",9.25,0.25,+2.78%,9.37,8.94,5217800,05/03/19
DORM,"Dorman Products Inc",87.26,2.52,+2.97%,87.41,83.98,135800,05/03/19
DPLO,"Diplomat Pharmacy Inc",5.91,0.24,+4.23%,5.95,5.67,613400,05/03/19
DRH,"Diamondrock Hospitality Company",11,0.14,+1.29%,11.01,10.84,1225700,05/03/19
DRQ,Dril-Quip,43.04,0.41,+0.96%,43.6,42.78,329000,05/03/19
DSPG,"D S P Group Inc",14.59,0.24,+1.67%,14.71,14.35,46400,05/03/19
DXPE,"Dxp Enterprise",43.38,1.99,+4.81%,43.38,41.67,40600,05/03/19
EBIX,"Ebix Inc",50.97,0.7,+1.39%,51.29,50.06,211000,05/03/19
EBS,"Emergent Biosolutions",48.12,-5.28,-9.89%,51.71,47.45,1346200,05/03/19
ECHO,"Echo Global Logistic",23.7,0.83,+3.63%,23.81,22.82,274200,05/03/19
ECOL,"US Ecology Inc",56.56,-3.27,-5.47%,59.83,55.38,133800,05/03/19
ECPG,"Encore Capital Grp",28.73,1.34,+4.89%,28.81,27.34,233800,05/03/19
EE,"El Paso Electric Company",61.37,1.72,+2.88%,61.44,59.8,229000,05/03/19
EFII,"Elec Imaging Inc",37.3,0.05,+0.13%,37.54,37.14,1421900,05/03/19
EGBN,"Eagle Bancorp Inc",55.79,1.18,+2.16%,55.91,54.86,112500,05/03/19
EGHT,"8X8 Inc",24.21,0.38,+1.59%,24.39,23.93,981500,05/03/19
EGOV,"Nic Inc",17.5,0.27,+1.57%,17.52,17.19,604700,05/03/19
EGP,"Eastgroup Properties",113.57,0.9,+0.80%,113.62,112.2,404800,05/03/19
EGRX,"Eagle Pharmaceutical",51.12,2.06,+4.20%,51.13,49.06,136200,05/03/19
EHTH,"Ehealth Inc",61.89,3.35,+5.72%,62.49,57.9,456200,05/03/19
EIG,"Employers Holdings Inc",42.71,0.27,+0.64%,43.08,42.49,104800,05/03/19
ELY,"Callaway Golf Company",17.37,0.26,+1.52%,17.47,17.03,984500,05/03/19
ENDP,"Endo Int'l Plc",8.2,0.48,+6.22%,8.31,7.74,3063200,05/03/19
ENSG,"The Ensign Group IN",51.42,0.62,+1.22%,51.47,50.15,252500,05/03/19
ENTA,"Enanta Pharmaceutica",88.89,2.5,+2.89%,89.18,86.34,146800,05/03/19
ENVA,"Enova International Inc",26.58,-0.03,-0.11%,27.04,26.41,150700,05/03/19
EPAY,"Bottomline Tech IN",45.39,-5,-9.92%,45.96,43,1506400,05/03/19
ERA,"Era Group Inc",9.46,0.5,+5.58%,9.57,8.99,96800,05/03/19
ESE,"Esco Technologies Inc",76.79,1.94,+2.59%,76.89,75.38,113500,05/03/19
ETH,"Ethan Allen Interiors Inc",22.54,0.12,+0.54%,22.62,22.42,185800,05/03/19
EVTC,"Evertec Inc",29.7,-0.01,-0.03%,29.84,28.98,389000,05/03/19
EXLS,"Exlservice Holdings",62.27,0.12,+0.19%,62.89,61.66,144700,05/03/19
EXPO,"Exponent Inc",57.25,1.01,+1.80%,57.31,55.85,223900,05/03/19
EXPR,"Express Inc",3.97,0.07,+1.79%,4.03,3.86,1059700,05/03/19
EXTN,"Exterran Corp",13.74,-0.02,-0.15%,14.04,13.58,543600,05/03/19
